"sub","ses","task","datatype","trial_n","cold_t","warm_t","burn_yn","temp_cw"
"3","1","fast","beh",41,21,32.7000007629395,0,1
"3","1","fast","beh",42,24,40.0999984741211,1,1
"3","1","fast","beh",43,27,34.5999984741211,0,0
"3","1","fast","beh",44,18,34.5,0,0
"3","1","fast","beh",45,21,38.4000015258789,0,1
"3","1","fast","beh",46,12,34.5999984741211,1,1
"3","1","fast","beh",47,18,37.5,1,1
"3","1","fast","beh",48,12,33.4000015258789,1,0
"3","1","fast","beh",49,6,30.1000003814697,1,0
"3","1","fast","beh",50,24,41.5999984741211,1,1
"3","1","fast","beh",51,15,33.7999992370605,0,0
"3","1","fast","beh",52,15,35,1,0
"3","1","fast","beh",53,24,30.5,0,0
"3","1","fast","beh",54,27,44.9000015258789,1,1
"3","1","fast","beh",55,27,44.4000015258789,1,1
"3","1","fast","beh",56,24,41.0999984741211,1,1
"3","1","fast","beh",57,24,31.1000003814697,0,0
"3","1","fast","beh",58,21,33.5999984741211,0,0
"3","1","fast","beh",59,21,33.9000015258789,0,0
"3","1","fast","beh",60,24,36.5,0,1
"3","1","fast","beh",61,21,34.4000015258789,0,0
"3","1","fast","beh",62,15,30.5,1,0
"3","1","fast","beh",63,24,36.7999992370605,0,0
"3","1","fast","beh",64,21,30.5,1,0
"3","1","fast","beh",65,24,36.7000007629395,1,1
"3","1","fast","beh",66,27,34.0999984741211,0,1
"3","1","fast","beh",67,15,34.5999984741211,1,1
"3","1","fast","beh",68,21,33.7999992370605,0,0
"3","1","fast","beh",69,12,32.5999984741211,1,0
"3","1","fast","beh",70,12,32.2000007629395,1,0
"3","1","fast","beh",71,24,36.7000007629395,0,1
"3","1","fast","beh",72,24,41.7000007629395,1,1
"3","1","fast","beh",73,15,33.9000015258789,1,0
"3","1","fast","beh",74,27,35.4000015258789,0,1
"3","1","fast","beh",75,27,35.7999992370605,0,1
"3","1","fast","beh",76,27,44,1,1
"3","1","fast","beh",77,21,34.2000007629395,0,0
"3","1","fast","beh",78,21,37.7000007629395,0,0
"3","1","fast","beh",79,21,34.4000015258789,1,1
"3","1","fast","beh",80,15,33.9000015258789,1,1
"3","1","fast","beh",81,24,37,0,1
"3","1","fast","beh",82,24,37.2000007629395,1,1
"3","1","fast","beh",83,27,35.7000007629395,0,1
"3","1","fast","beh",84,15,33.5,1,0
"3","1","fast","beh",85,24,41.0999984741211,1,1
"3","1","fast","beh",86,18,31.7000007629395,0,0
"3","1","fast","beh",87,21,31.2999992370605,0,0
"3","1","fast","beh",88,24,34.2999992370605,0,0
"3","1","fast","beh",89,12,30.8999996185303,1,0
"3","1","fast","beh",90,15,30.2999992370605,1,0
"3","1","fast","beh",91,21,37.2999992370605,1,1
"3","1","fast","beh",92,24,39.5,1,1
"3","1","fast","beh",93,27,37.2999992370605,0,1
"3","1","fast","beh",94,15,30.2999992370605,0,0
"3","1","fast","beh",95,18,30.7000007629395,0,0
"3","1","fast","beh",96,21,36.5,0,1
"3","1","fast","beh",97,18,32.7000007629395,1,0
"3","1","fast","beh",98,18,32.5999984741211,0,0
"3","1","fast","beh",99,21,34.9000015258789,1,1
"3","1","fast","beh",100,24,37.0999984741211,1,1
"4","1","fast","beh",1,27,35,0,1
"4","1","fast","beh",2,0,33.2000007629395,1,0
"4","1","fast","beh",3,18,38.2999992370605,0,1
"4","1","fast","beh",4,0,32.0999984741211,1,0
"4","1","fast","beh",5,12,37.0999984741211,1,1
"4","1","fast","beh",6,6,32,1,0
"4","1","fast","beh",7,18,36.5999984741211,0,1
"4","1","fast","beh",8,24,47.9000015258789,1,1
"4","1","fast","beh",9,9,30.1000003814697,0,0
"4","1","fast","beh",10,24,46.2000007629395,1,1
"4","1","fast","beh",11,6,30.2999992370605,0,0
"4","1","fast","beh",12,27,44.5999984741211,1,1
"4","1","fast","beh",13,18,42.7999992370605,0,1
"4","1","fast","beh",14,12,47.0999984741211,1,1
"4","1","fast","beh",15,27,34.7000007629395,0,1
"4","1","fast","beh",16,18,38.7000007629395,0,1
"4","1","fast","beh",17,12,36.0999984741211,1,0
"4","1","fast","beh",18,18,30.5,0,0
"4","1","fast","beh",19,18,46.4000015258789,1,1
"4","1","fast","beh",20,21,35.2999992370605,0,0
"4","1","fast","beh",21,0,30.2000007629395,1,0
"4","1","fast","beh",22,24,47.5999984741211,1,1
"4","1","fast","beh",23,24,40.2999992370605,0,1
"4","1","fast","beh",24,24,43.7000007629395,0,1
"4","1","fast","beh",25,6,34,0,1
"4","1","fast","beh",26,18,36.2999992370605,0,1
"4","1","fast","beh",27,27,43.2000007629395,0,1
"4","1","fast","beh",28,24,41.9000015258789,0,1
"4","1","fast","beh",29,27,46.4000015258789,1,1
"4","1","fast","beh",30,27,45.9000015258789,0,1
"4","1","fast","beh",31,12,34.7999992370605,0,0
"4","1","fast","beh",32,27,48,1,1
"4","1","fast","beh",33,15,39.0999984741211,1,0
"4","1","fast","beh",34,15,37.0999984741211,0,1
"4","1","fast","beh",35,6,32.0999984741211,1,0
"4","1","fast","beh",36,21,40.9000015258789,0,1
"4","1","fast","beh",37,24,45.5999984741211,1,1
"4","1","fast","beh",38,15,38.7000007629395,0,1
"4","1","fast","beh",39,15,37.4000015258789,0,1
"4","1","fast","beh",40,24,42.7000007629395,0,1
"4","1","fast","beh",41,27,45.7000007629395,1,1
"4","1","fast","beh",42,15,37.4000015258789,1,0
"4","1","fast","beh",43,27,47.0999984741211,1,1
"4","1","fast","beh",44,24,44.0999984741211,1,1
"4","1","fast","beh",45,12,38.0999984741211,0,1
"4","1","fast","beh",46,27,47.0999984741211,1,1
"4","1","fast","beh",47,12,36.7000007629395,1,0
"4","1","fast","beh",48,15,40.2000007629395,1,0
"4","1","fast","beh",49,15,37.4000015258789,1,1
"4","1","fast","beh",50,27,44.2000007629395,1,1
