"sub","ses","task","datatype","trial_n","quality","threshold","threshold_se","slope","slope_se","response","stim"
29,1,"psi","beh",39,"cold",0.507313241503093,1.04069738638537,0.396068896049898,0.252366900492993,0,3.70000004768372
29,1,"psi","beh",40,"cold",0.478493663075712,0.846274870274423,0.416032944939423,0.227086332497829,0,3.5
29,1,"psi","beh",41,"cold",0.578729443747369,1.34019807183329,0.334866754876137,0.283764412391424,1,3.29999995231628
29,1,"psi","beh",42,"cold",0.532993818053671,1.0647303049523,0.354715111070636,0.246958366710214,0,4.19999980926514
29,1,"psi","beh",43,"cold",0.504330730473538,0.868183129157414,0.371864370392748,0.220872152346803,0,3.90000009536743
29,1,"psi","beh",44,"cold",0.48537110350723,0.730059372486353,0.387148766238812,0.202462741693694,0,3.70000004768372
29,1,"psi","beh",45,"cold",0.554600563608265,1.08726822173789,0.323121433646039,0.243241646955796,1,3.5
29,1,"psi","beh",46,"cold",0.526419548453731,0.886697505678496,0.338104129748445,0.216065044123745,0,4.40000009536743
29,1,"psi","beh",47,"cold",0.624678416707081,1.41391249268684,0.274635846771054,0.281845587002269,1,4.09999990463257
29,1,"psi","beh",48,"cold",0.914810004350745,2.50411034905394,0.196630897827247,0.420848384258582,1,5.19999980926514
29,1,"psi","beh",49,"cold",0.749097815063661,1.92242527612802,0.219234498862108,0.344552081534962,0,7.69999980926514
29,1,"psi","beh",50,"cold",0.654184298637152,1.49678910648693,0.237059215158634,0.28818804552856,0,6.59999990463257
29,1,"psi","beh",1,"warm",40.9301273570189,4.12926216257439,0.0774596669241486,1.11269404820651,1,42.5
29,1,"psi","beh",2,"warm",42.0389777522556,3.88631854661754,0.0671595844370444,1.08567723803274,0,39.5
29,1,"psi","beh",3,"warm",41.3676003670611,3.51274901624202,0.114864018975042,1.10644860983355,1,44.0999984741211
29,1,"psi","beh",4,"warm",40.6313565881956,3.48830096163796,0.117285807981231,1.09980682801027,1,40.9000015258789
29,1,"psi","beh",5,"warm",40.9347383920138,3.12375661244825,0.187780118265719,1.10112028289455,0,38.5
29,1,"psi","beh",6,"warm",41.9424831800659,3.67612476393764,0.0530755573269371,0.9949324430354,0,41.7000007629395
29,1,"psi","beh",7,"warm",41.6238435793238,3.37004532619914,0.0933797188420365,0.979365778520216,1,50
29,1,"psi","beh",8,"warm",41.3263542221696,3.02380700275073,0.157897125532892,0.925053026735608,1,48.5
29,1,"psi","beh",9,"warm",41.0408675632123,2.66076031925799,0.250626785919998,0.856217671151338,1,45.5
29,1,"psi","beh",10,"warm",41.6619084715665,2.57340031258725,0.250176156947796,0.853064411074305,0,41
29,1,"psi","beh",11,"warm",41.8610063399501,2.22870380808737,0.37404432810449,0.781674325608068,0,38.9000015258789
29,1,"psi","beh",12,"warm",42.5385458783932,2.64177268663007,0.191995830185886,0.807868370510051,0,42.9000015258789
29,1,"psi","beh",13,"warm",42.3581818898455,2.30839093204182,0.277601370834834,0.730493120360643,1,46.5999984741211
29,1,"psi","beh",14,"warm",42.0040010741352,2.10394301758007,0.331919276343575,0.695229233351565,1,43.2999992370605
29,1,"psi","beh",15,"warm",42.2186491784836,1.81225200345456,0.440513268309082,0.632314372688976,0,40
29,1,"psi","beh",16,"warm",42.578021140039,1.71205981668887,0.482889234807341,0.629644908444201,0,42
29,1,"psi","beh",17,"warm",43.0608979622926,2.14105208651458,0.259325767525009,0.669079960312958,0,43.7999992370605
29,1,"psi","beh",18,"warm",42.9221388700242,1.84699323411054,0.338986426932344,0.592493812223202,1,46.5
29,1,"psi","beh",19,"warm",42.7926703410402,1.60765084874385,0.419685325446752,0.529907220857857,1,45.4000015258789
29,1,"psi","beh",20,"warm",42.9907413153605,1.41344451472611,0.501505999574755,0.493361691057207,0,41.5
29,1,"psi","beh",21,"warm",43.3179192515242,1.42426218552237,0.480613050655253,0.501101804427509,0,43.2000007629395
29,1,"psi","beh",22,"warm",43.1865617828548,1.2455156814025,0.565581520387409,0.460683607797453,1,44.7999992370605
29,1,"psi","beh",23,"warm",43.3741159231109,1.11724850807071,0.655139899271393,0.448118947359565,0,42.5
29,1,"psi","beh",24,"warm",43.0671615887326,1.22730823211184,0.506814504802313,0.438481332812181,1,42.7999992370605
29,1,"psi","beh",25,"warm",43.1759519455772,1.07577459966689,0.580556688216152,0.40128828836469,0,41.5999984741211
29,1,"psi","beh",26,"warm",43.0751917123427,0.940781639904156,0.655956003829675,0.369966425476066,1,44.5
29,1,"psi","beh",27,"warm",43.1728712910804,0.837307414410415,0.73292436788496,0.349267755628981,0,42
29,1,"psi","beh",28,"warm",43.4082612710186,0.938753908026635,0.620295535650108,0.364922067047489,0,43.7999992370605
29,1,"psi","beh",29,"warm",43.678701107673,1.21694455102895,0.430244028698607,0.40753822148821,0,44.7999992370605
29,1,"psi","beh",30,"warm",43.5881303265836,1.04961329486347,0.487148450013998,0.361136089660869,1,45.9000015258789
29,1,"psi","beh",31,"warm",43.5160776943594,0.921262106431515,0.538903013671585,0.32479330860968,1,45.5999984741211
29,1,"psi","beh",32,"warm",43.5943669839948,0.828352240206553,0.587737837582057,0.302039504454933,0,42
29,1,"psi","beh",33,"warm",43.5256752689342,0.74468066296799,0.636264496096633,0.282137913879904,1,45.0999984741211
29,1,"psi","beh",34,"warm",43.6049876788847,0.683489353487722,0.685490355367381,0.272343277608684,0,42.4000015258789
29,1,"psi","beh",35,"warm",43.4137005471101,0.737657120320632,0.591526669965684,0.267317348325733,1,42.7999992370605
29,1,"psi","beh",36,"warm",43.3542351267195,0.67021031737507,0.632166812100262,0.250378572949386,1,44.9000015258789
29,1,"psi","beh",37,"warm",43.4117078185294,0.616234844322412,0.672488382411381,0.238271360526127,0,42
29,1,"psi","beh",38,"warm",43.348441090852,0.570713937270125,0.712022447551464,0.230412269549328,1,44.5
29,1,"psi","beh",39,"warm",43.4019087503228,0.533319279244002,0.752890569930124,0.223997539931111,0,42.2000007629395
29,1,"psi","beh",40,"warm",43.334810460229,0.499871014830596,0.792294442994568,0.221006832666036,1,44.2000007629395
29,1,"psi","beh",41,"warm",43.2729825018876,0.471828491035574,0.832606272302557,0.219660648672382,1,44.0999984741211
29,1,"psi","beh",42,"warm",43.3993368585661,0.479320594452361,0.782674427770916,0.215025261065517,0,43.7000007629395
29,1,"psi","beh",43,"warm",43.4480667962821,0.450831740124773,0.82510667308535,0.212153915419282,0,42.4000015258789
29,1,"psi","beh",44,"warm",43.4931829015741,0.427628045491531,0.867554734621212,0.210680410297298,0,42.5
29,1,"psi","beh",45,"warm",43.4510453925307,0.405347949589303,0.911119091811243,0.209379161980209,1,44.4000015258789
29,1,"psi","beh",46,"warm",43.5371314159699,0.395130692262141,0.931970749555811,0.22005477430253,0,43.4000015258789
29,1,"psi","beh",47,"warm",43.6093655713459,0.381396149238086,0.978043297017834,0.234431200347202,0,43.2999992370605
29,1,"psi","beh",48,"warm",43.510570157039,0.377858830259872,0.899627861932398,0.19819744144351,1,43.4000015258789
29,1,"psi","beh",49,"warm",43.4797002058624,0.359096353203704,0.941222750779158,0.195722268573673,1,44.5
29,1,"psi","beh",50,"warm",43.5133741961207,0.342809219691229,0.98553973737945,0.194760614579743,0,42.5999984741211
30,1,"psi","beh",1,"cold",11.3254648427388,8.03486252949281,0.0774596669241484,1.11269404820651,0,15
