id,warmT,coldT,burn_yn,cold_warm
6,35.2999992370605,3,1,0
6,32.2000007629395,3,1,0
6,35.2999992370605,9,1,0
6,39.5,18,0,1
6,41.7000007629395,12,1,0
6,40,18,0,0
6,35.2000007629395,6,0,0
6,34.7000007629395,3,1,0
6,40.9000015258789,12,1,0
6,39,12,0,0
6,43.2000007629395,24,1,0
6,37.2999992370605,9,1,0
6,35.2999992370605,9,0,0
6,35.2000007629395,6,1,0
6,42.4000015258789,15,0,1
6,47.0999984741211,24,1,1
6,44.7999992370605,24,1,1
8,35,27,0,0
8,37,12,0,1
8,45.5999984741211,6,1,1
8,39.9000015258789,9,1,1
8,48,27,1,1
8,41.4000015258789,15,0,0
8,37.7000007629395,9,0,1
8,30.5,3,1,0
8,36,9,0,0
8,32.5999984741211,27,0,0
8,38.0999984741211,9,1,1
8,35.2000007629395,6,1,0
8,48.9000015258789,9,1,1
8,32.7999992370605,24,0,0
8,33.5999984741211,6,1,0
8,42.2999992370605,21,0,1
8,37.5,0,1,0
8,34.5999984741211,0,1,0
8,36.9000015258789,3,0,1
8,41.0999984741211,18,0,1
8,42.5,3,1,1
8,40.7999992370605,3,1,0
8,36.2000007629395,21,0,1
8,33.4000015258789,6,1,0
8,40.7000007629395,6,0,1
8,40.7000007629395,27,0,1
8,48.2000007629395,12,1,1
8,33.4000015258789,6,1,0
8,31.2999992370605,15,0,0
8,33.0999984741211,15,0,0
8,37,18,0,0
8,40.7999992370605,21,0,1
8,44.4000015258789,24,1,1
8,46.2000007629395,21,1,1
8,42.9000015258789,9,1,0
8,35.5999984741211,9,1,0
8,47.4000015258789,24,1,1
8,32.5999984741211,0,1,0
8,43.7000007629395,12,0,1
8,35.4000015258789,9,0,0
8,49.5,27,1,1
8,40.2000007629395,15,0,0
8,47.5999984741211,15,1,1
8,47.0999984741211,15,1,1
8,48.4000015258789,27,1,1
8,35.7999992370605,9,0,0
8,44,21,0,1
8,44.7999992370605,12,1,1
8,48,27,1,1
8,46.2000007629395,15,0,0
8,34.2000007629395,6,1,0
8,30.7999992370605,3,1,0
8,40.2999992370605,15,0,1
8,42.5999984741211,18,0,1
8,33.5999984741211,6,0,0
8,37.0999984741211,3,1,1
8,45,12,0,1
8,43.4000015258789,9,0,0
8,43.7999992370605,18,0,1
8,31.7000007629395,0,1,0
8,37.2999992370605,9,0,0
8,33.4000015258789,12,0,0
8,43.9000015258789,27,0,1
8,42.5999984741211,15,0,1
8,47.0999984741211,21,1,1
8,46.7000007629395,21,1,1
8,31.6000003814697,9,0,0
8,40.2000007629395,12,0,1
8,38.7999992370605,18,0,1
8,48.5999984741211,15,1,1
8,31.6000003814697,3,1,0
8,32,9,0,0
8,46.7000007629395,21,1,1
8,36.9000015258789,3,1,0
8,37.5999984741211,9,0,0
8,36.7999992370605,3,1,1
8,32.0999984741211,9,0,0
8,31.1000003814697,3,1,0
8,42.5,15,0,1
8,34.7999992370605,12,0,0
8,34.5999984741211,6,1,0
8,46.9000015258789,21,1,1
8,36.0999984741211,3,1,0
8,46.7000007629395,21,0,1
8,39.4000015258789,18,0,0
8,32,9,0,0
8,45.7000007629395,12,1,1
8,45.4000015258789,27,1,1
8,43.0999984741211,24,0,1
8,48.7000007629395,24,1,1
8,42.9000015258789,9,0,1
8,40.2000007629395,12,0,0
8,34.5999984741211,6,0,0
8,34.9000015258789,12,0,0
8,32.4000015258789,9,1,0
8,37.7000007629395,9,0,1
8,48.7000007629395,24,1,1
8,32.2000007629395,9,1,0
8,40.0999984741211,12,1,1
8,40,6,0,1
11,35,27,1,1
11,38.7999992370605,12,1,1
11,37.9000015258789,21,1,0
11,30.2999992370605,9,1,1
11,31.3999996185303,21,1,1
11,31.3999996185303,24,0,1
11,32.9000015258789,24,1,1
11,38,27,1,1
11,31.8999996185303,21,1,1
11,32.9000015258789,24,1,1
11,32.5999984741211,27,1,1
11,31.3999996185303,27,0,1
11,36.2000007629395,27,1,1
11,30.1000003814697,27,0,1
11,30.8999996185303,27,0,1
11,31.7000007629395,24,1,1
11,32.7999992370605,27,1,1
11,33.5,27,0,1
11,35.5999984741211,27,1,1
11,32,24,1,1
11,31,27,1,1
11,32,24,1,1
11,34.7000007629395,27,0,1
11,36.4000015258789,27,0,1
11,33.0999984741211,27,1,1
11,39,27,1,1
11,33.9000015258789,24,1,1
11,30,21,1,1
11,32.0999984741211,27,0,0
11,37.2000007629395,27,1,1
11,32.2999992370605,24,1,1
11,31.8999996185303,24,1,1
11,31.5,24,0,0
11,32.5,27,0,1
